1.024	27.769.083,570	84.494,300	0,000	0,000	0,000
2.048	13.595.482,430	331.576,400	0,000	0,000	0,000
4.096	6.683.497,190	1.376.501,200	0,000	0,000	0,001
8.192	3.295.919,630	5.508.318,300	0,000	0,000	0,002
16.384	1.652.178,750	21.893.649,300	0,000	0,000	0,010
32.768	830.035,570	87.514.767,000	0,000	0,000	0,039
65.536	415.523,760	348.821.921,500	0,000	0,000	0,158
131.072	207.353,300	1.404.134.673,300	0,000	0,000	0,632
262.144	103.837,410	5.613.974.830,500	0,000	0,000	2,525
524.288	51.872,290	22.435.669.257,200	0,000	0,000	10,107
1.048.576	25.027,550	93.013.393.441,400	0,000	0,000	41,897
